STATE,CITY,CLLI,RACK ID,BAY NAME,BAY,RACK,CHASSIS,USAGE,FULL RACK NAME,RACK STATUS,RACK CREATED,RACK MODIFIED,EQUIPMENT NAME,EQPT STATUS,EQPT-W,EQPT-H,EQPT-D,EQPT CREATED,EQPT MODIFIED,RACK-W,RACK-H,RACK-D,SOURCE SYSTEM,EQPT_ID
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.340.001.002,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.340.001.003,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587615,PLLKCO01.001.0003.340.001.003,BAY,RACK,,,PLLKCO01.001.0003.340.001.003.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0003.340.001.004,BAY,,,FACILITY,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8613849,PLLKCO01.001.0003.340.001.004,BAY,RACK,,,PLLKCO01.001.0003.340.001.004.FR,IN SERVICE,,11/17/2012 10:41,,,,,,,,19,84,12,,
CO,PALMER LAKE,PLLKCO01,8587554,PLLKCO01.001.0004..001.001,BAY,RACK,CHASSIS,,PLLKCO01.001.0004..001.001.FR,IN SERVICE,,11/17/2012 10:41,PLLKCO01COLMFP 001.0004..001.001.037,IN SERVICE,17,4,11,11/17/2012 13:23,11/17/2012 13:23,20.313,84,15,GRANITE,2500168
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.001,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587558,PLLKCO01.001.0004..001.002,BAY,RACK,,,PLLKCO01.001.0004..001.002.FR,IN SERVICE,,3/24/2017 16:56,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.002,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8587548,PLLKCO01.001.0004..001.003,BAY,RACK,,,PLLKCO01.001.0004..001.003.FR,IN SERVICE,,04/05/2017 14:40,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.003,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644598,PLLKCO01.001.0004..001.004,BAY,RACK,,,PLLKCO01.001.0004..001.004.FR,IN SERVICE,,4/26/2017 20:41,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.004,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.005,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
CO,PALMER LAKE,PLLKCO01,8644602,PLLKCO01.001.0004..001.005,BAY,RACK,,,PLLKCO01.001.0004..001.005.FR,IN SERVICE,,4/26/2017 20:42,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,8587545,PLLKCO01.001.0004..001.006,BAY,RACK,,,PLLKCO01.001.0004..001.006.FR,IN SERVICE,,4/27/2017 16:31,,,,,,,,23,84,15,,
CO,PALMER LAKE,PLLKCO01,,PLLKCO01.001.0004..001.006,BAY,,,CUSTOMER,,,,,,,,,,,,,,,,
